year,category,variable,units,magnitude,source,data_value,flag
2007,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.5,R
2007,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,26.9,R
2007,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,5.8,R
2007,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.5,F
2007,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,787078,R
2007,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,86330,R
2007,Offshore minerals,Wage and salary earners,Number,Actual,LEED,918,R
2008,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.5,R
2008,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,52.5,R
2008,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,6.2,R
2008,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.2,F
2008,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2200130,R
2008,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,95761,R
2008,Offshore minerals,Wage and salary earners,Number,Actual,LEED,930,R
2009,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.5,R
2009,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,54.2,R
2009,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,6.7,R
2009,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.2,F
2009,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2309240,R
2009,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,109183,R
2009,Offshore minerals,Wage and salary earners,Number,Actual,LEED,912,R
2010,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,R
2010,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,51.3,R
2010,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,7.3,R
2010,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.2,F
2010,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2297657,R
2010,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,117419,R
2010,Offshore minerals,Wage and salary earners,Number,Actual,LEED,975,R
2011,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,R
2011,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,50.4,R
2011,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,7.2,R
2011,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.1,F
2011,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2322137,R
2011,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,121834,R
2011,Offshore minerals,Wage and salary earners,Number,Actual,LEED,975,R
2012,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.8,R
2012,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,48,R
2012,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,6.6,R
2012,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1,F
2012,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2117062,R
2012,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,115350,R
2012,Offshore minerals,Wage and salary earners,Number,Actual,LEED,939,R
2013,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,R
2013,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,45.3,R
2013,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,6.8,R
2013,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.9,F
2013,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1951832,R
2013,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,117852,R
2013,Offshore minerals,Wage and salary earners,Number,Actual,LEED,951,R
2014,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.7,R
2014,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,41.6,R
2014,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,11.6,R
2014,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.7,F
2014,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1705289,R
2014,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,200878,R
2014,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1656,R
2015,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.9,R
2015,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,38.4,R
2015,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,12.2,R
2015,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.7,F
2015,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1625954,R
2015,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,238285,R
2015,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1704,R
2016,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.5,R
2016,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,24.2,R
2016,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,11.3,R
2016,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2016,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,949090,R
2016,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,225517,R
2016,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1620,R
2017,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.1,R
2017,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,24.8,R
2017,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,10.2,R
2017,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2017,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,961954,R
2017,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,205909,R
2017,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1551,R
2018,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4,R
2018,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,25.9,R
2018,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,9.7,R
2018,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2018,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1095510,R
2018,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,206436,R
2018,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1572,R
2019,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.7,P
2019,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,23,P
2019,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,9.4,P
2019,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.3,P
2019,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1004507,P
2019,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,211368,P
2019,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1479,P
2020,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,P
2020,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,21.4,P
2020,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,7.3,P
2020,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.3,P
2020,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,971771,P
2020,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,169383,P
2020,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1368,P
2007,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.5,R
2007,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,40.7,R
2007,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,46.2,R
2007,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.7,R
2007,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1188749,R
2007,Shipping,Gross earnings,Dollars,Thousands,LEED,684551,R
2007,Shipping,Wage and salary earners,Number,Actual,LEED,18114,R
2008,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,50.4,R
2008,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,28.5,R
2008,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,48,R
2008,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2008,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1194751,R
2008,Shipping,Gross earnings,Dollars,Thousands,LEED,738517,R
2008,Shipping,Wage and salary earners,Number,Actual,LEED,18756,R
2009,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,50,R
2009,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,25.9,R
2009,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,46.8,R
2009,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2009,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1102803,R
2009,Shipping,Gross earnings,Dollars,Thousands,LEED,765825,R
2009,Shipping,Wage and salary earners,Number,Actual,LEED,18288,R
2010,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.9,R
2010,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.8,R
2010,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,46.4,R
2010,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2010,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1245291,R
2010,Shipping,Gross earnings,Dollars,Thousands,LEED,749520,R
2010,Shipping,Wage and salary earners,Number,Actual,LEED,16521,R
2011,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,50,R
2011,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.9,R
2011,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,47.2,R
2011,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2011,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1286000,R
2011,Shipping,Gross earnings,Dollars,Thousands,LEED,796254,R
2011,Shipping,Wage and salary earners,Number,Actual,LEED,16812,R
2012,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,49,R
2012,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,28.6,R
2012,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,46.9,R
2012,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2012,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1259813,R
2012,Shipping,Gross earnings,Dollars,Thousands,LEED,818253,R
2012,Shipping,Wage and salary earners,Number,Actual,LEED,16590,R
2013,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.9,R
2013,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,30.2,R
2013,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,47.3,R
2013,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2013,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1303587,R
2013,Shipping,Gross earnings,Dollars,Thousands,LEED,821804,R
2013,Shipping,Wage and salary earners,Number,Actual,LEED,16131,R
2014,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,47.9,R
2014,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,33.7,R
2014,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,41.9,R
2014,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2014,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1379831,R
2014,Shipping,Gross earnings,Dollars,Thousands,LEED,725337,R
2014,Shipping,Wage and salary earners,Number,Actual,LEED,16797,R
2015,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.5,R
2015,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,33.2,R
2015,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,47.4,R
2015,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2015,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1408034,R
2015,Shipping,Gross earnings,Dollars,Thousands,LEED,926923,R
2015,Shipping,Wage and salary earners,Number,Actual,LEED,17016,R
2016,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48,R
2016,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,39.7,R
2016,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,49,R
2016,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2016,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1557587,R
2016,Shipping,Gross earnings,Dollars,Thousands,LEED,980011,R
2016,Shipping,Wage and salary earners,Number,Actual,LEED,17169,R
2017,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,47.7,R
2017,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,45.6,R
2017,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,48.3,R
2017,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.7,R
2017,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1770110,R
2017,Shipping,Gross earnings,Dollars,Thousands,LEED,979017,R
2017,Shipping,Wage and salary earners,Number,Actual,LEED,18159,R
2018,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,47.6,R
2018,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,41.9,R
2018,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,47.6,R
2018,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,R
2018,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1769305,R
2018,Shipping,Gross earnings,Dollars,Thousands,LEED,1013444,R
2018,Shipping,Wage and salary earners,Number,Actual,LEED,18510,R
2019,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.3,P
2019,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,43.3,P
2019,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,48.9,P
2019,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,P
2019,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1895163,P
2019,Shipping,Gross earnings,Dollars,Thousands,LEED,1096988,P
2019,Shipping,Wage and salary earners,Number,Actual,LEED,19242,P
2020,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,47.5,P
2020,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,43.7,P
2020,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,50.5,P
2020,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,P
2020,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1989957,P
2020,Shipping,Gross earnings,Dollars,Thousands,LEED,1171160,P
2020,Shipping,Wage and salary earners,Number,Actual,LEED,19269,P
2007,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.7,R
2007,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,2921561,R
2007,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1480564,R
2007,Total marine economy,Wage and salary earners,Number,Actual,LEED,37356,R
2008,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.2,R
2008,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4187783,R
2008,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1540028,R
2008,Total marine economy,Wage and salary earners,Number,Actual,LEED,37239,R
2009,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.2,R
2009,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4256769,R
2009,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1637211,R
2009,Total marine economy,Wage and salary earners,Number,Actual,LEED,36573,R
2010,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.3,R
2010,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4480573,R
2010,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1615712,R
2010,Total marine economy,Wage and salary earners,Number,Actual,LEED,33813,R
2011,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.3,R
2011,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4611116,R
2011,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1687395,R
2011,Total marine economy,Wage and salary earners,Number,Actual,LEED,33657,R
2012,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.1,R
2012,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4412374,R
2012,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1744269,R
2012,Total marine economy,Wage and salary earners,Number,Actual,LEED,33891,R
2013,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2,R
2013,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4312723,R
2013,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1739228,R
2013,Total marine economy,Wage and salary earners,Number,Actual,LEED,33018,R
2014,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.8,R
2014,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4095929,R
2014,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1730652,R
2014,Total marine economy,Wage and salary earners,Number,Actual,LEED,35067,R
2015,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.7,R
2015,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4238729,R
2015,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1955607,R
2015,Total marine economy,Wage and salary earners,Number,Actual,LEED,35109,R
2016,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.5,R
2016,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,3923816,R
2016,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1999238,R
2016,Total marine economy,Wage and salary earners,Number,Actual,LEED,35736,R
2017,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,R
2017,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,3885987,R
2017,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2026333,R
2017,Total marine economy,Wage and salary earners,Number,Actual,LEED,38061,R
2018,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.5,R
2018,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4222595,R
2018,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2127048,R
2018,Total marine economy,Wage and salary earners,Number,Actual,LEED,38862,R
2019,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,P
2019,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4373290,P
2019,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2241346,P
2019,Total marine economy,Wage and salary earners,Number,Actual,LEED,39846,P
2020,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,P
2020,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4549445,P
2020,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2320898,P
2020,Total marine economy,Wage and salary earners,Number,Actual,LEED,40572,P
